iter	Passed	Remaining
0	148	148592
1	149	74648
2	150	50001
3	151	37681
4	152	30273
5	152	25336
6	154	21919
7	155	19272
8	156	17203
9	157	15546
10	157	14190
11	158	13061
12	159	12104
13	160	11286
14	161	10578
15	161	9959
16	162	9410
17	163	8924
18	164	8490
19	165	8101
20	166	7747
21	167	7428
22	167	7132
23	168	6861
24	169	6613
25	170	6384
26	171	6171
27	172	5974
28	173	5795
29	173	5623
30	174	5461
31	175	5309
32	176	5169
33	177	5037
34	178	4911
35	178	4793
36	179	4680
37	180	4574
38	181	4472
39	182	4375
40	183	4283
41	183	4195
42	184	4111
43	185	4032
44	186	3955
45	187	3882
46	187	3811
47	188	3744
48	189	3679
49	190	3618
50	191	3559
51	192	3507
52	193	3452
53	194	3399
54	194	3347
55	195	3297
56	196	3250
57	197	3203
58	198	3159
59	198	3116
60	199	3073
61	200	3032
62	201	2993
63	202	2954
64	202	2917
65	203	2881
66	204	2847
67	204	2809
68	205	2777
69	206	2746
70	207	2714
71	208	2684
72	209	2654
73	209	2625
74	210	2597
75	211	2571
76	212	2545
77	213	2519
78	213	2493
79	214	2468
80	215	2444
81	216	2420
82	217	2397
83	217	2375
84	218	2351
85	219	2331
86	219	2308
87	220	2288
88	221	2268
89	222	2249
90	223	2230
91	224	2211
92	224	2193
93	225	2175
94	226	2157
95	227	2139
96	227	2122
97	228	2105
98	229	2089
99	230	2072
100	231	2057
101	231	2038
102	232	2023
103	233	2008
104	233	1994
105	234	1980
106	235	1966
107	236	1952
108	237	1938
109	238	1925
110	238	1912
111	239	1899
112	240	1886
113	241	1873
114	241	1861
115	242	1848
116	243	1836
117	244	1825
118	244	1812
119	245	1801
120	246	1790
121	247	1779
122	247	1766
123	248	1755
124	249	1745
125	250	1735
126	251	1729
127	252	1717
128	252	1707
129	253	1697
130	254	1688
131	255	1678
132	256	1668
133	256	1659
134	257	1650
135	258	1641
136	259	1632
137	259	1622
138	260	1614
139	261	1605
140	262	1597
141	262	1588
142	263	1580
143	264	1573
144	265	1565
145	266	1557
146	267	1549
147	267	1542
148	268	1534
149	269	1526
150	270	1519
151	271	1512
152	271	1504
153	272	1497
154	273	1490
155	274	1483
156	274	1476
157	275	1469
158	276	1462
159	277	1455
160	278	1449
161	278	1442
162	279	1436
163	280	1430
164	281	1424
165	282	1417
166	282	1411
167	283	1405
168	284	1399
169	285	1393
170	286	1387
171	286	1381
172	287	1375
173	288	1369
174	289	1363
175	290	1358
176	290	1352
177	291	1346
178	292	1341
179	293	1335
180	293	1328
181	294	1323
182	295	1318
183	296	1313
184	296	1308
185	297	1303
186	298	1297
187	299	1292
188	300	1287
189	300	1282
190	301	1278
191	302	1273
192	303	1269
193	304	1264
194	305	1259
195	305	1255
196	306	1250
197	307	1245
198	308	1241
199	309	1236
200	310	1232
201	310	1228
202	311	1223
203	312	1219
204	313	1214
205	313	1210
206	314	1205
207	315	1201
208	316	1197
209	317	1193
210	317	1188
211	318	1184
212	319	1180
213	320	1176
214	321	1172
215	321	1167
216	322	1164
217	323	1160
218	324	1156
219	325	1152
220	325	1148
221	326	1144
222	327	1140
223	328	1137
224	328	1133
225	329	1129
226	330	1125
227	331	1122
228	332	1118
229	332	1114
230	333	1110
231	334	1107
232	335	1103
233	336	1100
234	336	1096
235	337	1093
236	338	1090
237	339	1086
238	340	1083
239	340	1079
240	341	1076
241	342	1072
242	343	1069
243	344	1066
244	344	1062
245	345	1059
246	346	1056
247	347	1052
248	347	1049
249	348	1045
250	349	1042
251	350	1039
252	350	1036
253	351	1033
254	352	1030
255	353	1027
256	354	1024
257	355	1021
258	356	1018
259	356	1015
260	357	1012
261	358	1009
262	359	1006
263	360	1003
264	360	1001
265	361	998
266	362	995
267	363	992
268	364	989
269	365	986
270	365	984
271	366	981
272	367	978
273	368	976
274	369	973
275	370	970
276	371	968
277	371	965
278	372	962
279	373	960
280	374	957
281	374	954
282	375	952
283	376	949
284	377	946
285	378	944
286	378	941
287	379	938
288	380	936
289	381	933
290	382	931
291	383	929
292	384	926
293	384	924
294	385	921
295	386	919
296	387	916
297	388	914
298	388	911
299	389	909
300	390	906
301	391	904
302	391	901
303	392	899
304	393	896
305	394	894
306	395	891
307	395	889
308	396	887
309	397	884
310	398	882
311	399	880
312	399	877
313	400	875
314	401	873
315	402	870
316	403	868
317	403	866
318	404	863
319	405	861
320	406	859
321	406	856
322	407	854
323	408	852
324	409	849
325	410	847
326	410	845
327	411	843
328	412	841
329	413	838
330	414	836
331	414	834
332	415	832
