iter	Passed	Remaining
0	131	131623
1	132	66152
2	133	44325
3	134	33417
4	135	26869
5	135	22481
6	136	19420
7	137	17076
8	138	15244
9	139	13833
10	140	12632
11	141	11629
12	141	10777
13	142	10047
14	143	9410
15	144	8856
16	144	8366
17	145	7928
18	146	7538
19	146	7191
20	147	6877
21	148	6587
22	148	6321
23	149	6078
24	150	5854
25	150	5647
26	151	5458
27	152	5285
28	153	5128
29	153	4977
30	154	4834
31	155	4701
32	156	4575
33	156	4455
34	157	4341
35	158	4234
36	158	4133
37	159	4037
38	160	3945
39	160	3858
40	161	3776
41	162	3697
42	162	3622
43	163	3551
44	164	3482
45	164	3417
46	165	3355
47	166	3295
48	166	3236
49	167	3188
50	168	3136
51	169	3084
52	169	3035
53	170	2987
54	171	2941
55	171	2896
56	172	2852
57	173	2810
58	173	2769
59	174	2730
60	174	2692
61	175	2655
62	176	2619
63	176	2585
64	177	2551
65	178	2519
66	178	2487
67	179	2457
68	179	2427
69	180	2397
70	181	2369
71	181	2344
72	182	2320
73	183	2298
74	184	2273
75	185	2249
76	185	2228
77	186	2205
78	187	2182
79	187	2160
80	188	2139
81	189	2118
82	189	2094
83	190	2073
84	190	2053
85	191	2034
86	192	2015
87	192	1996
88	193	1978
89	193	1960
90	194	1943
91	195	1925
92	195	1909
93	196	1893
94	197	1879
95	198	1864
96	198	1849
97	199	1835
98	200	1821
99	200	1807
100	201	1793
101	202	1779
102	202	1766
103	203	1752
104	204	1739
105	204	1726
106	205	1714
107	206	1701
108	206	1689
109	207	1679
110	208	1668
111	209	1657
112	209	1645
113	210	1634
114	211	1624
115	212	1616
116	212	1606
117	213	1596
118	214	1586
119	214	1576
120	215	1566
121	216	1556
122	216	1546
123	217	1537
124	218	1528
125	218	1519
126	219	1508
127	220	1499
128	220	1491
129	221	1482
130	222	1474
131	222	1466
132	223	1457
133	224	1449
134	225	1441
135	225	1433
136	226	1427
137	227	1420
138	228	1413
139	228	1406
140	229	1398
141	230	1390
142	230	1383
143	231	1376
144	232	1369
145	232	1362
146	233	1354
147	234	1347
148	234	1340
149	235	1333
150	236	1327
151	236	1321
152	237	1314
153	238	1308
154	238	1301
155	239	1295
156	240	1289
157	240	1283
158	241	1278
159	242	1272
160	242	1266
161	243	1260
162	244	1254
163	245	1249
164	245	1243
165	246	1237
166	247	1232
167	247	1226
168	248	1221
169	249	1216
170	249	1210
171	250	1205
172	251	1200
173	251	1195
174	252	1190
175	253	1184
176	253	1179
177	254	1175
178	255	1170
179	255	1165
180	256	1160
181	257	1156
182	258	1152
183	258	1147
184	259	1142
185	260	1138
186	260	1133
187	261	1129
188	262	1124
189	262	1119
190	263	1115
191	263	1110
192	264	1106
193	265	1102
194	266	1098
195	266	1095
196	267	1090
197	268	1086
198	268	1082
199	269	1078
200	270	1074
201	270	1070
202	271	1067
203	272	1063
204	273	1059
205	273	1055
206	274	1052
207	275	1048
208	275	1044
209	276	1040
210	277	1036
211	277	1032
212	278	1029
213	279	1025
214	279	1022
215	280	1018
216	281	1015
217	281	1011
218	282	1007
219	283	1003
220	283	1000
221	284	997
222	285	994
223	286	993
224	287	990
225	288	987
226	289	984
227	289	980
228	290	978
229	291	975
230	291	971
231	292	969
232	293	966
233	294	963
234	295	960
235	295	957
236	296	954
237	297	951
238	297	948
239	298	945
240	299	942
241	300	939
242	301	938
243	302	936
244	303	934
245	304	932
246	304	929
247	305	926
248	306	923
249	306	920
250	307	917
251	308	915
252	309	912
253	309	909
254	310	906
255	310	903
256	311	900
257	312	898
258	313	895
259	313	892
260	314	890
261	315	887
262	315	885
263	316	882
264	317	880
265	318	878
266	319	875
267	319	873
268	320	870
269	321	868
270	321	865
271	322	863
272	323	860
273	323	857
274	324	855
275	325	852
276	325	850
277	326	847
278	327	845
279	327	842
280	328	840
281	328	837
282	329	835
283	331	834
284	331	832
285	332	830
286	333	828
287	334	825
288	334	823
289	335	821
290	336	818
291	336	816
292	337	814
293	338	811
294	338	809
295	339	807
296	340	804
297	340	802
298	341	800
299	342	798
300	342	796
301	343	793
302	344	791
303	344	789
304	345	787
305	346	785
306	347	783
307	347	781
308	348	779
309	349	777
310	349	775
311	350	773
312	351	771
313	352	769
314	353	767
315	353	765
316	354	763
317	355	761
318	355	759
319	356	757
320	357	755
321	357	753
322	358	751
323	359	749
324	360	748
325	361	746
326	361	744
327	362	743
328	363	741
329	364	739
330	364	737
331	365	735
332	366	734
333	367	732
334	367	730
335	368	728
336	369	726
337	369	724
338	370	722
339	371	720
340	371	718
341	372	716
342	373	714
343	373	712
344	375	713
345	376	711
346	377	709
347	377	708
348	378	706
349	379	704
350	379	702
351	380	701
352	381	699
353	382	697
354	382	695
355	383	693
356	384	692
357	385	690
358	385	688
359	386	687
360	387	685
361	387	683
362	388	681
363	389	680
364	390	679
365	391	677
366	391	675
367	392	674
368	393	672
369	394	671
370	394	669
371	395	667
372	396	665
373	396	664
374	397	662
375	398	660
376	398	658
377	399	657
378	400	655
379	400	653
380	401	652
381	402	651
382	403	649
383	404	649
384	406	649
385	407	648
386	408	646
387	408	644
388	409	643
389	410	641
390	410	639
391	411	638
392	412	636
393	412	634
394	413	633
395	413	631
396	414	629
397	415	627
398	415	626
399	416	624
400	417	623
401	418	621
402	419	621
403	420	620
404	421	619
405	421	617
406	422	615
407	423	614
408	424	613
409	424	611
410	425	609
411	426	608
412	426	606
413	427	604
414	427	603
415	428	601
416	429	600
417	429	598
418	430	597
419	431	595
420	431	594
421	432	592
422	433	590
423	434	589
424	434	588
425	435	587
426	436	585
427	437	584
428	437	582
429	438	581
430	439	579
431	439	578
432	440	576
433	441	575
434	441	573
435	442	572
436	442	570
437	443	569
438	444	567
439	444	566
440	445	564
441	446	563
442	446	561
443	447	560
444	447	558
445	448	557
446	449	556
447	450	555
448	451	554
449	452	552
450	452	551
451	453	549
452	454	548
453	454	546
454	455	545
455	455	543
456	456	542
457	457	541
458	457	539
459	458	538
460	459	537
461	460	535
462	460	534
463	461	533
464	462	532
465	463	530
466	463	529
467	464	528
468	465	526
469	465	525
470	466	524
471	467	522
472	468	521
473	468	520
474	469	518
475	470	517
476	470	516
477	471	514
478	472	513
479	472	512
480	473	511
481	474	510
482	475	508
483	475	507
484	476	506
485	477	504
486	477	503
487	479	502
488	480	501
489	481	500
490	481	499
491	482	498
492	483	496
493	483	495
494	484	494
495	485	492
496	485	491
497	486	490
498	486	488
499	487	487
500	488	486
501	489	485
502	489	483
503	490	482
504	491	481
505	491	480
506	492	478
507	493	477
508	494	477
509	495	476
510	496	474
511	496	473
512	497	472
513	498	471
514	498	469
515	499	468
516	500	467
517	500	465
518	501	464
519	502	463
520	502	462
521	503	461
522	504	459
523	504	458
524	505	457
525	506	456
526	506	454
527	507	453
528	508	452
529	508	451
530	509	450
531	510	449
532	511	447
533	511	446
534	512	445
535	513	444
536	513	443
537	514	441
538	515	440
539	515	439
540	516	438
541	517	436
542	517	435
543	518	434
544	518	433
545	519	431
546	520	430
547	520	429
548	521	428
549	522	427
550	522	425
551	523	424
552	524	423
553	525	422
554	525	421
555	526	420
556	526	419
557	527	417
558	528	416
559	528	415
560	529	414
561	530	413
562	530	412
563	531	411
564	532	409
565	533	408
566	533	407
567	534	406
568	534	405
569	535	404
570	536	402
571	536	401
572	537	400
573	538	399
574	539	398
575	540	397
576	540	396
577	541	395
578	541	394
